,AAPL,GOOG,IBM,XOM,Cash,Stock Value,Total Value
2011-01-14 16:00:00,1500.0,0.0,0.0,0.0,479515.0,520485.0,1000000.0
2011-01-18 16:00:00,1500.0,0.0,0.0,0.0,479515.0,508785.0,988300.0
2011-01-19 16:00:00,0.0,0.0,4000.0,0.0,380720.0,604880.0,985600.0
2011-01-20 16:00:00,0.0,0.0,4000.0,0.0,380720.0,605320.0,986040.0
2011-01-21 16:00:00,0.0,0.0,4000.0,0.0,380720.0,604160.0,984880.0
2011-01-24 16:00:00,0.0,0.0,4000.0,0.0,380720.0,620200.0,1000920.0
2011-01-25 16:00:00,0.0,0.0,4000.0,0.0,380720.0,627240.0,1007960.0
2011-01-26 16:00:00,0.0,0.0,4000.0,0.0,380720.0,625680.0,1006400.0
2011-01-27 16:00:00,0.0,0.0,4000.0,0.0,380720.0,625800.0,1006520.0
2011-01-28 16:00:00,0.0,0.0,4000.0,0.0,380720.0,618560.0,999280.0
2011-01-31 16:00:00,0.0,1000.0,4000.0,0.0,-219640.0,1229760.0,1010120.0
2011-02-01 16:00:00,0.0,1000.0,4000.0,0.0,-219640.0,1246520.0,1026880.0
2011-02-02 16:00:00,0.0,1000.0,4000.0,0.0,-219640.0,1246480.0,1026840.0
2011-02-03 16:00:00,0.0,1000.0,4000.0,0.0,-219640.0,1245510.0,1025870.0
2011-02-04 16:00:00,0.0,1000.0,4000.0,-4000.0,99720.0,928820.0,1028540.0
2011-02-07 16:00:00,0.0,1000.0,4000.0,-4000.0,99720.0,932810.0,1032530.0
2011-02-08 16:00:00,0.0,1000.0,4000.0,-4000.0,99720.0,946220.0,1045940.0
2011-02-09 16:00:00,0.0,1000.0,4000.0,-4000.0,99720.0,940540.0,1040260.0
2011-02-10 16:00:00,0.0,1000.0,4000.0,-4000.0,99720.0,935800.0,1035520.0
2011-02-11 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1263620.0,1044100.0
2011-02-14 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1264830.0,1045310.0
2011-02-15 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1259350.0,1039830.0
2011-02-16 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1261580.0,1042060.0
2011-02-17 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1265900.0,1046380.0
2011-02-18 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1273080.0,1053560.0
2011-02-22 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1241930.0,1022410.0
2011-02-23 16:00:00,0.0,1000.0,4000.0,0.0,-219520.0,1236120.0,1016600.0
